fmun;fregi;ano;hom_doloso;lesao_corp_morte;latrocinio;cvli;hom_por_interv_policial;letalidade_violenta;tentat_hom;lesao_corp_dolosa;estupro;apreensao_drogas;posse_drogas;trafico_drogas;apreensao_drogas_sem_autor;recuperacao_veiculos;apf;aaapai;cmp;cmba;registro_ocorrencias
Engenheiro Paulo de Frontin;Sul Fluminense;2022;0;0;0;0;0;0;0;3;1;5;2;0;3;0;0;0;1;0;28
Guapimirim;Metropolitana do Rio de Janeiro;2022;5;0;0;5;0;5;3;12;0;4;0;4;0;4;8;1;4;1;200
Iguaba Grande;Baixadas Litorâneas;2022;2;0;0;2;1;3;1;11;3;3;2;1;0;2;3;1;3;1;157
Itaboraí;Metropolitana do Rio de Janeiro;2022;5;0;0;5;2;7;5;43;14;10;1;9;0;22;38;8;12;0;449
Itaguaí;Metropolitana do Rio de Janeiro;2022;3;0;0;3;0;3;1;38;1;4;0;3;1;5;12;0;12;0;430
Italva;Noroeste Fluminense;2022;0;0;0;0;0;0;0;5;1;4;4;0;0;0;1;0;1;0;52
Itaocara;Noroeste Fluminense;2022;1;0;0;1;0;1;0;9;0;8;4;5;0;1;12;0;2;0;72
Itaperuna;Noroeste Fluminense;2022;3;0;0;3;0;3;1;34;1;58;51;6;1;4;11;2;2;0;292
Itatiaia;Sul Fluminense;2022;1;0;0;1;0;1;0;8;1;6;1;3;2;1;10;1;7;0;126
Japeri;Metropolitana do Rio de Janeiro;2022;1;0;0;1;1;2;8;24;4;16;9;7;0;2;21;2;4;0;187
Laje do Muriaé;Noroeste Fluminense;2022;0;0;0;0;0;0;0;5;0;1;1;0;0;0;0;0;0;0;19
Macaé;Norte Fluminense;2022;5;0;0;5;1;6;8;43;8;42;24;18;0;8;44;1;7;1;754
Macuco;Centro Fluminense;2022;0;0;0;0;0;0;2;2;1;1;1;0;0;0;1;0;0;0;17
Magé;Metropolitana do Rio de Janeiro;2022;3;0;0;3;0;3;8;84;10;12;3;8;1;5;27;0;17;0;691
Mangaratiba;Sul Fluminense;2022;1;0;0;1;0;1;0;23;0;7;3;4;0;1;11;0;7;0;113
Maricá;Metropolitana do Rio de Janeiro;2022;2;0;0;2;0;2;0;57;4;8;4;3;1;9;8;0;8;0;706
Mendes;Sul Fluminense;2022;0;0;0;0;0;0;0;15;0;16;12;4;0;0;6;1;0;1;73
Mesquita;Metropolitana do Rio de Janeiro;2022;2;0;0;2;2;4;2;46;7;9;0;8;1;8;19;2;6;0;486
Miguel Pereira;Sul Fluminense;2022;0;0;0;0;0;0;1;19;2;20;14;6;0;0;8;0;1;0;108
Miracema;Noroeste Fluminense;2022;0;0;0;0;0;0;0;3;1;25;12;13;0;0;8;0;4;0;57
Natividade;Noroeste Fluminense;2022;0;0;0;0;0;0;0;7;0;4;3;1;0;0;1;0;2;0;48
Nilópolis;Metropolitana do Rio de Janeiro;2022;1;0;0;1;0;1;4;30;3;4;0;4;0;2;13;0;11;0;597
Niterói;Metropolitana do Rio de Janeiro;2022;4;0;0;4;0;4;1;123;10;36;9;26;2;20;93;9;59;4;2170
Nova Friburgo;Centro Fluminense;2022;2;0;0;2;3;5;0;41;3;27;5;19;4;5;32;6;16;0;489
Nova Iguaçu;Metropolitana do Rio de Janeiro;2022;20;0;0;20;3;23;5;236;36;13;2;11;0;35;128;7;32;1;2471
Paracambi;Metropolitana do Rio de Janeiro;2022;0;0;0;0;0;0;1;11;1;3;2;1;0;1;6;0;9;0;120
Paraíba do Sul;Centro Fluminense;2022;1;0;0;1;0;1;0;16;1;23;14;8;1;1;12;0;8;0;119
Paraty;Sul Fluminense;2022;2;0;0;2;0;2;2;20;1;14;2;10;2;4;12;2;3;0;171
Paty do Alferes;Centro Fluminense;2022;1;0;0;1;0;1;0;15;2;4;2;2;0;0;10;0;1;0;116
Petrópolis;Centro Fluminense;2022;0;0;0;0;0;0;2;99;5;54;12;30;14;6;59;8;42;1;946
Pinheiral;Sul Fluminense;2022;0;0;0;0;0;0;0;8;1;10;2;9;0;1;14;2;5;0;75
Piraí;Sul Fluminense;2022;0;0;0;0;0;0;0;2;1;31;25;5;1;0;9;0;2;0;100
Porciúncula;Noroeste Fluminense;2022;0;0;0;0;0;0;0;7;0;12;8;4;0;0;5;0;0;0;61
Porto Real;Sul Fluminense;2022;1;0;0;1;0;1;0;7;0;3;2;0;1;0;1;0;1;1;73
Quatis;Sul Fluminense;2022;1;0;0;1;0;1;0;3;0;0;0;0;0;0;1;0;0;0;27
Queimados;Metropolitana do Rio de Janeiro;2022;2;0;0;2;1;3;3;62;13;5;3;2;0;9;37;0;1;2;443
Quissamã;Norte Fluminense;2022;2;0;0;2;0;2;2;6;1;5;0;4;1;0;11;0;2;0;84
Resende;Sul Fluminense;2022;2;0;0;2;0;2;3;23;3;31;0;31;0;0;42;9;16;4;453
Rio Bonito;Baixadas Litorâneas;2022;0;0;0;0;0;0;4;7;1;9;1;6;2;6;19;2;5;0;134
Rio Claro;Sul Fluminense;2022;0;0;0;0;0;0;2;5;0;1;0;1;0;0;1;0;3;0;40
Rio das Flores;Sul Fluminense;2022;0;0;0;0;0;0;0;4;0;2;1;0;1;0;0;0;0;1;25
Rio das Ostras;Baixadas Litorâneas;2022;5;0;0;5;2;7;6;50;6;30;5;23;2;5;49;7;7;2;637
Rio de Janeiro;Metropolitana do Rio de Janeiro;2022;64;0;8;72;23;95;96;1478;124;284;134;120;32;583;1004;110;367;28;31192
Santa Maria Madalena;Norte Fluminense;2022;0;0;0;0;0;0;0;3;0;2;2;0;0;0;1;0;0;0;31
Santo Antônio de Pádua;Noroeste Fluminense;2022;1;0;0;1;0;1;0;18;1;23;13;7;3;2;15;1;5;2;109
São Francisco de Itabapoana;Norte Fluminense;2022;1;0;0;1;0;1;0;6;0;15;4;8;3;0;14;2;3;2;91
São Fidélis;Norte Fluminense;2022;0;0;0;0;0;0;1;11;1;8;5;3;0;0;6;1;3;0;104
São Gonçalo;Metropolitana do Rio de Janeiro;2022;14;0;0;14;15;29;12;144;18;29;2;26;2;70;85;4;38;3;2278
São João da Barra;Norte Fluminense;2022;1;0;0;1;0;1;3;12;4;10;5;4;1;1;8;0;7;0;131
São João de Meriti;Metropolitana do Rio de Janeiro;2022;1;0;0;1;5;6;16;93;13;14;2;12;1;25;42;1;10;0;1073
São José de Ubá;Noroeste Fluminense;2022;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5
São José do Vale do Rio Preto;Centro Fluminense;2022;0;0;0;0;0;0;0;9;2;11;9;3;0;1;2;2;0;0;62
São Pedro da Aldeia;Baixadas Litorâneas;2022;2;0;0;2;0;2;4;22;3;16;0;14;2;2;13;10;13;1;259
São Sebastião do Alto;Centro Fluminense;2022;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;13
Sapucaia;Centro Fluminense;2022;0;0;0;0;0;0;0;7;0;18;17;0;1;0;2;0;3;0;52
Saquarema;Baixadas Litorâneas;2022;1;0;0;1;0;1;3;30;2;11;1;8;2;1;15;2;3;0;283
Seropédica;Metropolitana do Rio de Janeiro;2022;0;0;0;0;0;0;2;34;3;2;2;0;0;3;9;1;5;0;217
Silva Jardim;Baixadas Litorâneas;2022;0;0;0;0;0;0;1;7;2;5;2;3;0;0;5;3;0;0;67
Sumidouro;Centro Fluminense;2022;0;0;0;0;0;0;0;4;1;3;3;1;0;0;2;0;6;0;41
Tanguá;Metropolitana do Rio de Janeiro;2022;0;0;0;0;0;0;0;9;0;7;1;5;1;0;7;3;0;0;69
Teresópolis;Centro Fluminense;2022;2;0;0;2;1;3;1;62;14;36;20;8;8;1;18;5;19;2;612
Trajano de Moraes;Centro Fluminense;2022;0;0;0;0;0;0;1;1;0;1;0;1;0;0;1;0;1;0;36
Três Rios;Centro Fluminense;2022;1;0;0;1;0;1;4;37;2;40;20;18;2;1;31;6;29;1;385
Valença;Sul Fluminense;2022;1;0;0;1;0;1;1;18;0;28;19;5;4;2;15;0;10;0;209
Varre-Sai;Noroeste Fluminense;2022;0;0;0;0;0;0;0;3;0;0;0;0;0;0;1;0;1;0;17
Vassouras;Centro Fluminense;2022;0;0;0;0;0;0;0;9;0;23;15;4;4;1;5;3;0;1;100
Volta Redonda;Sul Fluminense;2022;4;0;0;4;3;7;5;54;2;37;10;23;5;4;52;8;29;0;664
Angra dos Reis;Sul Fluminense;2022;5;0;0;5;7;12;4;64;6;18;5;12;2;7;19;1;14;0;469
Aperibé;Noroeste Fluminense;2022;0;0;0;0;0;0;1;9;1;10;3;6;1;0;5;0;0;0;37
Araruama;Baixadas Litorâneas;2022;7;0;0;7;0;7;0;34;9;30;4;25;3;9;46;5;8;0;498
Areal;Centro Fluminense;2022;0;0;0;0;0;0;0;1;1;6;5;1;0;0;3;1;1;0;30
Armação dos Búzios;Baixadas Litorâneas;2022;2;0;0;2;0;2;1;24;4;10;2;7;2;1;21;0;2;0;217
Arraial do Cabo;Baixadas Litorâneas;2022;1;0;0;1;0;1;0;23;2;14;1;10;4;1;20;3;3;0;154
Barra do Piraí;Sul Fluminense;2022;3;0;0;3;1;4;2;33;1;81;39;19;24;0;28;1;3;1;270
Barra Mansa;Sul Fluminense;2022;3;0;0;3;0;3;3;22;1;30;2;28;1;1;44;10;8;0;540
Belford Roxo;Metropolitana do Rio de Janeiro;2022;10;0;1;11;6;17;8;125;20;9;0;9;0;30;42;4;25;0;1202
Bom Jardim;Centro Fluminense;2022;0;0;0;0;0;0;0;4;4;4;2;0;2;0;4;0;2;0;65
Bom Jesus do Itabapoana;Noroeste Fluminense;2022;1;0;0;1;0;1;0;18;1;9;6;1;2;1;4;2;4;0;99
Cabo Frio;Baixadas Litorâneas;2022;4;0;0;4;2;6;3;71;8;61;15;41;6;7;86;12;16;0;851
Cachoeiras de Macacu;Centro Fluminense;2022;0;0;0;0;0;0;1;22;2;5;2;3;0;0;7;0;5;1;105
Cambuci;Noroeste Fluminense;2022;0;0;0;0;0;0;1;1;1;2;1;1;0;0;1;0;0;0;37
Carapebus;Norte Fluminense;2022;0;0;0;0;0;0;2;2;0;4;1;3;0;0;1;0;1;0;17
Comendador Levy Gasparian;Centro Fluminense;2022;0;0;0;0;0;0;1;5;1;1;0;1;0;0;1;0;0;0;18
Campos dos Goytacazes;Norte Fluminense;2022;7;0;0;7;0;7;8;98;11;81;35;41;8;15;124;14;38;9;1303
Cantagalo;Centro Fluminense;2022;0;0;0;0;0;0;0;5;1;4;2;1;1;1;1;0;1;0;41
Cardoso Moreira;Norte Fluminense;2022;0;0;0;0;0;0;0;4;2;3;2;2;0;0;7;0;1;0;48
Carmo;Centro Fluminense;2022;0;0;0;0;0;0;0;6;2;11;8;2;1;0;9;1;3;0;60
Casimiro de Abreu;Baixadas Litorâneas;2022;1;0;0;1;0;1;1;10;1;11;6;4;1;1;6;0;26;0;152
Conceição de Macabu;Norte Fluminense;2022;0;0;0;0;0;0;0;6;2;2;1;1;0;0;3;0;2;0;48
Cordeiro;Centro Fluminense;2022;0;0;0;0;0;0;0;14;2;4;3;1;0;0;2;0;2;0;170
Duas Barras;Centro Fluminense;2022;0;0;0;0;0;0;0;2;0;0;0;0;0;1;1;0;1;0;29
Duque de Caxias;Metropolitana do Rio de Janeiro;2022;27;0;0;27;10;37;44;240;31;22;1;19;2;182;105;10;58;1;3022
Engenheiro Paulo de Frontin;Sul Fluminense;2022;0;0;0;0;0;0;0;7;0;10;9;1;0;0;1;0;1;0;39
Guapimirim;Metropolitana do Rio de Janeiro;2022;3;0;1;4;0;4;0;28;5;4;1;3;0;2;12;1;1;0;220
