fmun;fregi;ano;hom_doloso;lesao_corp_morte;latrocinio;cvli;hom_por_interv_policial;letalidade_violenta;tentat_hom;lesao_corp_dolosa;estupro;apreensao_drogas;posse_drogas;trafico_drogas;apreensao_drogas_sem_autor;recuperacao_veiculos;apf;aaapai;cmp;cmba;registro_ocorrencias
Angra dos Reis;Sul Fluminense;2014;11;0;0;11;1;12;2;96;7;35;18;12;5;9;28;6;8;0;561
Aperibé;Noroeste Fluminense;2014;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Araruama;Baixadas Litorâneas;2014;2;0;0;2;0;2;6;69;7;13;9;4;1;4;34;5;5;0;480
Areal;Centro Fluminense;2014;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Armação dos Búzios;Baixadas Litorâneas;2014;2;0;0;2;0;2;0;44;6;16;6;10;2;2;26;8;3;2;309
Arraial do Cabo;Baixadas Litorâneas;2014;0;0;0;0;0;0;0;32;2;15;4;10;1;2;7;1;1;0;176
Barra do Piraí;Sul Fluminense;2014;1;0;0;1;0;1;3;52;5;12;7;5;1;2;19;3;19;0;248
Barra Mansa;Sul Fluminense;2014;5;0;0;5;0;5;6;62;4;19;8;10;1;11;28;1;25;0;430
Belford Roxo;Metropolitana do Rio de Janeiro;2014;29;0;0;29;0;29;7;256;11;35;2;29;4;91;64;15;16;0;1367
Bom Jardim;Centro Fluminense;2014;0;0;0;0;0;0;0;7;1;4;2;2;0;0;1;0;3;1;59
Bom Jesus do Itabapoana;Noroeste Fluminense;2014;0;0;0;0;0;0;0;23;2;9;8;1;0;0;3;2;0;1;115
Cabo Frio;Baixadas Litorâneas;2014;9;0;0;9;0;9;12;119;9;51;14;34;5;26;80;28;8;0;1105
Cachoeiras de Macacu;Centro Fluminense;2014;2;0;0;2;0;2;5;31;2;5;2;2;1;0;3;1;2;0;175
Cambuci;Noroeste Fluminense;2014;0;0;0;0;0;0;0;6;0;2;1;1;0;0;0;0;0;0;42
Carapebus;Norte Fluminense;2014;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Comendador Levy Gasparian;Centro Fluminense;2014;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Campos dos Goytacazes;Norte Fluminense;2014;18;0;0;18;0;18;33;193;20;95;32;49;22;41;151;52;25;1;1397
Cantagalo;Centro Fluminense;2014;1;0;0;1;0;1;0;17;2;1;0;1;0;0;0;0;0;0;68
Cardoso Moreira;Norte Fluminense;2014;1;0;0;1;0;1;0;12;0;5;5;0;0;0;4;0;0;0;56
Carmo;Centro Fluminense;2014;0;0;0;0;0;0;0;19;1;1;0;1;0;1;1;0;1;7;101
Casimiro de Abreu;Baixadas Litorâneas;2014;0;0;0;0;0;0;0;21;0;1;1;0;0;3;2;2;3;1;129
Conceição de Macabu;Norte Fluminense;2014;1;0;0;1;0;1;0;9;1;2;2;0;0;1;0;0;5;0;54
Cordeiro;Centro Fluminense;2014;1;0;0;1;0;1;0;13;1;2;0;1;1;0;6;0;2;0;68
Duas Barras;Centro Fluminense;2014;0;0;0;0;0;0;0;15;1;1;1;0;0;0;1;0;0;0;44
Duque de Caxias;Metropolitana do Rio de Janeiro;2014;37;0;0;37;3;40;31;511;25;65;5;57;3;202;187;88;56;0;4247
Engenheiro Paulo de Frontin;Sul Fluminense;2014;0;0;0;0;0;0;0;6;0;3;1;2;0;0;2;2;1;0;37
Guapimirim;Metropolitana do Rio de Janeiro;2014;1;0;0;1;0;1;3;49;2;2;1;1;0;0;11;2;2;0;137
Iguaba Grande;Baixadas Litorâneas;2014;0;0;0;0;0;0;1;23;1;1;1;0;0;2;1;0;1;0;126
Itaboraí;Metropolitana do Rio de Janeiro;2014;5;0;0;5;0;5;10;118;9;30;3;25;2;49;58;26;14;0;908
Itaguaí;Metropolitana do Rio de Janeiro;2014;9;0;0;9;0;9;3;70;5;7;0;7;0;13;23;3;6;0;461
Italva;Noroeste Fluminense;2014;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Itaocara;Noroeste Fluminense;2014;0;0;0;0;0;0;1;22;1;0;0;0;0;0;2;0;0;0;82
Itaperuna;Noroeste Fluminense;2014;1;0;0;1;0;1;1;53;2;66;53;11;4;0;29;5;6;0;328
Itatiaia;Sul Fluminense;2014;0;0;0;0;0;0;2;23;3;125;114;13;0;4;24;2;12;0;280
Japeri;Metropolitana do Rio de Janeiro;2014;5;0;0;5;0;5;5;72;4;21;4;16;2;3;16;9;10;0;298
Laje do Muriaé;Noroeste Fluminense;2014;0;0;0;0;0;0;0;8;0;1;0;1;0;0;1;0;1;0;28
Macaé;Norte Fluminense;2014;10;0;0;10;3;13;19;86;26;25;10;16;1;23;38;14;12;0;886
Macuco;Centro Fluminense;2014;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Magé;Metropolitana do Rio de Janeiro;2014;15;0;0;15;0;15;18;187;5;14;3;7;4;32;50;11;23;1;868
Mangaratiba;Sul Fluminense;2014;2;0;0;2;0;2;3;29;1;4;3;1;0;5;10;3;2;0;181
Maricá;Metropolitana do Rio de Janeiro;2014;6;0;0;6;0;6;4;77;2;14;2;12;0;16;25;9;13;0;573
Mendes;Sul Fluminense;2014;0;0;0;0;0;0;0;8;0;2;2;0;0;0;0;0;1;0;53
Mesquita;Metropolitana do Rio de Janeiro;2014;4;0;0;4;0;4;7;111;11;10;0;9;1;26;20;6;9;0;717
Miguel Pereira;Sul Fluminense;2014;2;0;0;2;0;2;1;21;1;4;1;3;0;0;11;2;3;0;114
Miracema;Noroeste Fluminense;2014;0;0;0;0;2;2;0;10;0;27;22;3;2;1;9;0;0;0;95
Natividade;Noroeste Fluminense;2014;0;0;0;0;0;0;0;7;2;0;0;0;0;0;1;0;0;0;47
Nilópolis;Metropolitana do Rio de Janeiro;2014;9;0;1;10;0;10;7;105;3;9;2;5;3;34;13;5;10;0;893
Niterói;Metropolitana do Rio de Janeiro;2014;7;0;0;7;3;10;15;228;13;50;13;29;8;104;109;38;60;0;2827
Nova Friburgo;Centro Fluminense;2014;3;0;0;3;0;3;3;104;8;29;7;20;2;15;42;12;11;0;685
Nova Iguaçu;Metropolitana do Rio de Janeiro;2014;51;0;2;53;1;54;24;467;41;41;4;35;2;81;100;41;39;0;3237
Paracambi;Metropolitana do Rio de Janeiro;2014;0;0;0;0;0;0;0;25;2;14;0;13;1;3;17;4;2;0;121
Paraíba do Sul;Centro Fluminense;2014;1;0;0;1;0;1;0;25;2;7;6;1;0;2;4;0;3;0;115
Paraty;Sul Fluminense;2014;1;0;0;1;0;1;4;26;5;19;14;5;0;1;12;3;5;0;265
Paty do Alferes;Centro Fluminense;2014;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Petrópolis;Centro Fluminense;2014;0;0;0;0;0;0;3;130;6;35;8;30;0;15;56;7;22;0;680
Pinheiral;Sul Fluminense;2014;0;0;0;0;0;0;0;24;2;3;2;1;0;0;4;0;3;1;95
Piraí;Sul Fluminense;2014;0;0;0;0;0;0;0;8;1;6;3;2;1;1;5;1;0;0;92
Porciúncula;Noroeste Fluminense;2014;0;0;0;0;0;0;0;14;0;4;4;1;1;0;2;2;0;0;68
Porto Real;Sul Fluminense;2014;0;0;0;0;0;0;1;20;1;11;6;4;1;0;4;0;5;0;86
Quatis;Sul Fluminense;2014;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Queimados;Metropolitana do Rio de Janeiro;2014;8;0;0;8;1;9;5;142;9;10;2;8;0;22;29;6;13;0;600
Quissamã;Norte Fluminense;2014;2;0;1;3;0;3;1;12;2;1;1;0;0;6;2;0;0;0;79
Resende;Sul Fluminense;2014;4;0;0;4;0;4;2;94;5;35;16;16;3;8;45;6;8;0;515
Rio Bonito;Baixadas Litorâneas;2014;1;0;0;1;0;1;0;20;0;5;1;4;0;5;9;3;2;0;163
Rio Claro;Sul Fluminense;2014;0;0;0;0;0;0;1;15;0;0;0;0;0;2;0;0;2;0;48
Rio das Flores;Sul Fluminense;2014;0;0;0;0;0;0;0;5;0;0;0;0;0;0;1;0;0;0;22
Rio das Ostras;Baixadas Litorâneas;2014;4;0;0;4;0;4;11;76;0;14;6;7;1;16;23;6;6;0;639
Rio de Janeiro;Metropolitana do Rio de Janeiro;2014;113;3;5;121;32;153;192;3562;194;1019;602;310;110;1011;1132;510;824;32;36489
Santa Maria Madalena;Norte Fluminense;2014;0;0;0;0;0;0;0;3;0;1;1;0;0;0;1;0;0;0;30
Santo Antônio de Pádua;Noroeste Fluminense;2014;3;0;1;4;0;4;0;27;1;27;16;11;1;3;20;2;3;0;186
São Francisco de Itabapoana;Norte Fluminense;2014;1;0;0;1;0;1;4;26;2;2;1;0;1;3;8;0;12;0;119
São Fidélis;Norte Fluminense;2014;0;0;0;0;0;0;0;19;1;7;3;3;1;1;10;2;2;0;98
São Gonçalo;Metropolitana do Rio de Janeiro;2014;29;0;1;30;3;33;50;481;32;70;8;60;2;278;160;81;36;0;4473
São João da Barra;Norte Fluminense;2014;4;0;2;6;0;6;6;25;5;9;4;4;2;4;14;2;5;0;195
São João de Meriti;Metropolitana do Rio de Janeiro;2014;23;0;0;23;0;23;15;239;7;16;5;9;2;102;64;27;39;0;1983
São José de Ubá;Noroeste Fluminense;2014;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
São José do Vale do Rio Preto;Centro Fluminense;2014;0;0;0;0;0;0;0;9;0;3;3;0;0;0;2;0;0;0;37
São Pedro da Aldeia;Baixadas Litorâneas;2014;4;0;1;5;0;5;0;45;4;11;3;7;1;12;7;2;10;0;273
São Sebastião do Alto;Centro Fluminense;2014;1;0;0;1;0;1;0;5;1;0;0;0;0;0;1;0;0;0;26
Sapucaia;Centro Fluminense;2014;0;0;0;0;0;0;0;11;0;2;2;0;0;0;3;0;1;0;43
Saquarema;Baixadas Litorâneas;2014;1;0;0;1;0;1;2;47;6;6;2;3;1;14;8;1;1;0;381
Seropédica;Metropolitana do Rio de Janeiro;2014;3;0;0;3;0;3;6;48;3;4;0;3;1;5;14;2;5;0;256
Silva Jardim;Baixadas Litorâneas;2014;1;0;0;1;0;1;0;6;1;5;1;3;1;2;9;1;13;0;67
Sumidouro;Centro Fluminense;2014;0;0;0;0;0;0;0;1;0;2;1;1;0;1;0;0;1;0;28
Tanguá;Metropolitana do Rio de Janeiro;2014;1;0;0;1;0;1;0;27;1;9;3;5;1;3;11;1;9;0;117
Teresópolis;Centro Fluminense;2014;1;0;0;1;1;2;1;95;2;32;13;20;2;6;50;8;12;0;459
Trajano de Moraes;Centro Fluminense;2014;0;0;0;0;0;0;0;7;0;1;0;1;0;0;2;0;1;0;36
Três Rios;Centro Fluminense;2014;0;0;1;1;0;1;1;83;5;47;38;9;0;1;36;2;14;0;450
Valença;Sul Fluminense;2014;1;0;0;1;0;1;3;34;0;7;5;2;0;1;7;2;1;0;151
Varre-Sai;Noroeste Fluminense;2014;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Vassouras;Centro Fluminense;2014;0;0;0;0;0;0;0;25;2;2;2;0;0;2;3;0;3;0;86
Volta Redonda;Sul Fluminense;2014;7;0;0;7;0;7;17;98;6;36;5;24;7;9;80;8;13;0;740
Angra dos Reis;Sul Fluminense;2014;7;0;0;7;0;7;9;83;8;35;15;16;4;11;43;5;20;0;527
Aperibé;Noroeste Fluminense;2014;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Araruama;Baixadas Litorâneas;2014;6;0;0;6;0;6;5;51;7;16;10;5;1;6;11;1;7;0;427
Areal;Centro Fluminense;2014;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Armação dos Búzios;Baixadas Litorâneas;2014;0;0;0;0;0;0;0;30;1;11;8;5;0;2;13;7;9;1;215
Arraial do Cabo;Baixadas Litorâneas;2014;1;0;0;1;0;1;0;17;2;12;6;7;2;0;9;3;5;0;116
Barra do Piraí;Sul Fluminense;2014;4;0;0;4;0;4;1;36;1;23;9;12;2;1;16;3;19;0;237
Barra Mansa;Sul Fluminense;2014;2;0;0;2;0;2;5;64;6;10;3;6;1;16;48;2;25;0;411
Belford Roxo;Metropolitana do Rio de Janeiro;2014;21;0;1;22;1;23;11;183;15;19;1;16;2;56;62;15;22;2;1180
Bom Jardim;Centro Fluminense;2014;0;0;0;0;0;0;0;7;2;2;2;0;0;0;1;0;2;0;43
Bom Jesus do Itabapoana;Noroeste Fluminense;2014;0;0;0;0;0;0;2;23;3;13;7;4;2;0;11;2;6;0;139
Cabo Frio;Baixadas Litorâneas;2014;7;0;0;7;2;9;28;105;8;56;11;41;4;20;102;43;14;0;990
Cachoeiras de Macacu;Centro Fluminense;2014;0;0;0;0;0;0;1;29;2;8;2;6;0;1;10;4;5;0;156
Cambuci;Noroeste Fluminense;2014;0;0;0;0;0;0;0;4;0;6;5;0;1;0;0;0;1;0;41
Carapebus;Norte Fluminense;2014;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Comendador Levy Gasparian;Centro Fluminense;2014;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Campos dos Goytacazes;Norte Fluminense;2014;29;0;0;29;2;31;28;153;13;82;24;39;21;42;120;40;30;1;1373
Cantagalo;Centro Fluminense;2014;0;0;0;0;0;0;0;14;0;3;0;2;1;1;4;0;8;0;87
Cardoso Moreira;Norte Fluminense;2014;0;0;0;0;0;0;0;20;1;5;2;3;0;0;0;0;2;0;83
Carmo;Centro Fluminense;2014;0;0;0;0;0;0;0;11;1;4;1;1;2;0;2;1;1;2;58
Casimiro de Abreu;Baixadas Litorâneas;2014;0;0;0;0;0;0;0;29;1;5;2;1;2;3;2;0;3;0;138
Conceição de Macabu;Norte Fluminense;2014;1;0;0;1;0;1;0;11;0;2;1;1;0;0;3;0;1;0;59
Cordeiro;Centro Fluminense;2014;0;0;0;0;0;0;1;14;0;1;0;0;1;4;2;0;1;0;69
Duas Barras;Centro Fluminense;2014;0;0;0;0;0;0;0;4;1;0;0;0;0;1;0;0;0;0;41
Duque de Caxias;Metropolitana do Rio de Janeiro;2014;46;1;0;47;9;56;40;458;29;68;6;58;4;181;181;98;37;0;3876
Engenheiro Paulo de Frontin;Sul Fluminense;2014;0;0;0;0;0;0;0;13;0;4;4;0;0;0;0;0;1;0;47
Guapimirim;Metropolitana do Rio de Janeiro;2014;0;0;0;0;0;0;1;37;5;3;0;3;0;1;7;4;1;0;152
Iguaba Grande;Baixadas Litorâneas;2014;3;0;0;3;0;3;2;7;0;1;0;1;0;3;3;0;2;0;90
Itaboraí;Metropolitana do Rio de Janeiro;2014;6;0;0;6;1;7;14;109;12;32;11;22;0;38;51;14;18;0;819
Itaguaí;Metropolitana do Rio de Janeiro;2014;11;0;1;12;1;13;13;54;4;15;1;12;2;22;35;10;10;1;439
Italva;Noroeste Fluminense;2014;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Itaocara;Noroeste Fluminense;2014;1;0;0;1;0;1;0;16;0;6;3;2;1;0;0;0;4;0;90
Itaperuna;Noroeste Fluminense;2014;1;0;0;1;0;1;8;46;5;57;44;11;2;5;40;3;14;0;333
Itatiaia;Sul Fluminense;2014;0;0;0;0;0;0;0;16;1;116;115;1;0;0;8;1;2;0;227
Japeri;Metropolitana do Rio de Janeiro;2014;3;1;0;4;0;4;5;61;0;12;1;7;4;11;19;4;11;0;296
Laje do Muriaé;Noroeste Fluminense;2014;0;0;0;0;0;0;0;6;0;1;0;1;0;0;0;0;2;0;24
Macaé;Norte Fluminense;2014;9;0;0;9;0;9;20;74;14;28;2;23;3;31;37;12;10;0;821
Macuco;Centro Fluminense;2014;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Magé;Metropolitana do Rio de Janeiro;2014;12;0;1;13;0;13;8;164;13;19;9;7;4;21;46;9;12;0;761
Mangaratiba;Sul Fluminense;2014;3;0;0;3;0;3;1;26;4;7;2;4;1;7;15;0;2;0;190
Maricá;Metropolitana do Rio de Janeiro;2014;8;0;0;8;0;8;8;66;2;12;4;7;1;16;17;4;23;0;580
Mendes;Sul Fluminense;2014;0;0;0;0;0;0;0;12;1;2;2;0;0;0;1;0;2;0;53
Mesquita;Metropolitana do Rio de Janeiro;2014;4;0;0;4;0;4;3;108;7;22;0;19;3;37;30;21;7;1;679
Miguel Pereira;Sul Fluminense;2014;3;0;0;3;0;3;0;23;4;5;3;2;0;0;4;0;3;0;136
Miracema;Noroeste Fluminense;2014;0;0;0;0;0;0;0;21;0;28;21;6;2;0;13;2;1;0;96
Natividade;Noroeste Fluminense;2014;0;0;0;0;0;0;0;10;1;6;5;2;0;1;5;0;2;0;58
Nilópolis;Metropolitana do Rio de Janeiro;2014;6;0;0;6;0;6;2;99;7;8;0;8;0;37;21;11;9;0;830
Niterói;Metropolitana do Rio de Janeiro;2014;9;0;0;9;11;20;15;268;20;63;10;50;6;112;119;56;32;5;2667
Nova Friburgo;Centro Fluminense;2014;3;0;0;3;0;3;2;81;3;34;12;24;1;7;43;21;13;1;628
Nova Iguaçu;Metropolitana do Rio de Janeiro;2014;50;0;1;51;2;53;20;392;44;45;7;40;1;75;119;49;38;0;3041
Paracambi;Metropolitana do Rio de Janeiro;2014;1;0;0;1;0;1;2;15;3;13;4;9;0;2;16;6;4;1;110
Paraíba do Sul;Centro Fluminense;2014;0;0;0;0;0;0;0;36;1;15;10;6;0;3;8;4;7;0;145
Paraty;Sul Fluminense;2014;2;0;0;2;0;2;5;22;0;14;11;0;3;1;7;3;3;0;207
Paty do Alferes;Centro Fluminense;2014;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Petrópolis;Centro Fluminense;2014;1;0;0;1;0;1;1;143;5;47;15;29;3;10;52;11;39;0;735
Pinheiral;Sul Fluminense;2014;0;0;0;0;0;0;0;32;1;3;2;1;0;1;10;0;3;1;111
Piraí;Sul Fluminense;2014;0;0;0;0;0;0;1;20;1;3;1;2;0;1;6;2;1;0;87
Porciúncula;Noroeste Fluminense;2014;0;0;0;0;0;0;0;11;0;5;5;0;0;1;1;0;4;0;64
Porto Real;Sul Fluminense;2014;2;0;0;2;0;2;0;33;2;7;3;4;0;4;12;1;3;0;91
Quatis;Sul Fluminense;2014;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Queimados;Metropolitana do Rio de Janeiro;2014;10;1;0;11;0;11;8;92;9;13;1;9;3;13;31;19;15;0;502
Quissamã;Norte Fluminense;2014;0;0;0;0;0;0;2;11;0;2;0;1;1;5;3;0;2;1;90
Resende;Sul Fluminense;2014;3;0;0;3;0;3;10;103;5;26;14;12;3;3;30;7;3;0;523
Rio Bonito;Baixadas Litorâneas;2014;0;0;0;0;0;0;4;26;2;11;3;8;0;4;16;2;4;1;164
Rio Claro;Sul Fluminense;2014;0;0;0;0;0;0;0;10;0;1;0;0;1;1;1;0;2;0;46
Rio das Flores;Sul Fluminense;2014;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;23
Rio das Ostras;Baixadas Litorâneas;2014;2;0;0;2;0;2;3;53;6;5;3;2;0;13;28;12;6;0;537
Rio de Janeiro;Metropolitana do Rio de Janeiro;2014;133;2;6;141;21;162;179;3225;171;743;347;292;109;884;1099;421;580;36;33328
Santa Maria Madalena;Norte Fluminense;2014;0;0;0;0;0;0;1;1;0;1;1;0;0;1;2;4;0;0;29
Santo Antônio de Pádua;Noroeste Fluminense;2014;0;0;0;0;0;0;6;14;1;20;6;13;1;1;30;6;7;1;155
São Francisco de Itabapoana;Norte Fluminense;2014;2;0;0;2;0;2;0;14;1;0;0;0;0;0;2;0;1;0;78
São Fidélis;Norte Fluminense;2014;0;0;0;0;0;0;1;14;0;4;1;1;2;1;1;0;1;0;86
São Gonçalo;Metropolitana do Rio de Janeiro;2014;34;0;2;36;2;38;43;390;38;83;11;63;9;272;193;87;24;0;4146
São João da Barra;Norte Fluminense;2014;5;0;0;5;0;5;3;22;7;9;1;7;1;3;15;12;7;0;144
São João de Meriti;Metropolitana do Rio de Janeiro;2014;14;0;0;14;3;17;5;257;13;9;1;5;3;124;48;22;24;0;1782
São José de Ubá;Noroeste Fluminense;2014;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
São José do Vale do Rio Preto;Centro Fluminense;2014;0;0;0;0;0;0;0;15;0;2;1;1;0;0;2;0;3;0;44
São Pedro da Aldeia;Baixadas Litorâneas;2014;3;0;0;3;0;3;3;33;5;8;1;6;1;7;32;14;16;1;267
São Sebastião do Alto;Centro Fluminense;2014;0;0;0;0;0;0;0;8;0;0;0;0;0;0;0;0;0;0;26
Sapucaia;Centro Fluminense;2014;0;0;0;0;0;0;0;9;2;1;1;0;0;0;1;0;2;0;45
Saquarema;Baixadas Litorâneas;2014;1;0;2;3;0;3;1;31;5;16;11;5;0;5;8;7;7;0;288
Seropédica;Metropolitana do Rio de Janeiro;2014;2;0;0;2;0;2;1;43;9;8;0;8;0;6;19;1;5;0;231
Silva Jardim;Baixadas Litorâneas;2014;0;0;0;0;0;0;0;11;0;1;1;0;0;3;2;0;3;0;58
Sumidouro;Centro Fluminense;2014;1;0;0;1;0;1;0;12;1;0;0;0;0;0;1;0;0;0;63
Tanguá;Metropolitana do Rio de Janeiro;2014;0;0;0;0;0;0;2;23;1;2;0;2;0;2;2;1;10;0;96
Teresópolis;Centro Fluminense;2014;1;0;1;2;0;2;1;79;2;35;13;21;2;4;45;15;14;1;387
Trajano de Moraes;Centro Fluminense;2014;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;27
Três Rios;Centro Fluminense;2014;2;0;0;2;0;2;1;79;3;61;47;14;1;8;22;2;10;1;442
Valença;Sul Fluminense;2014;0;0;0;0;0;0;2;35;1;15;6;8;1;1;10;0;7;0;142
Varre-Sai;Noroeste Fluminense;2014;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Vassouras;Centro Fluminense;2014;0;0;0;0;0;0;0;19;2;3;1;1;1;2;4;0;3;0;90
Volta Redonda;Sul Fluminense;2014;7;0;1;8;1;9;5;89;10;33;11;16;8;12;63;10;32;0;722
Angra dos Reis;Sul Fluminense;2014;6;0;0;6;0;6;8;90;4;47;18;26;3;6;55;5;19;0;573
Aperibé;Noroeste Fluminense;2014;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Araruama;Baixadas Litorâneas;2014;5;0;0;5;0;5;2;56;5;13;6;6;2;7;30;2;7;0;466
Areal;Centro Fluminense;2014;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Armação dos Búzios;Baixadas Litorâneas;2014;3;1;0;4;0;4;1;23;0;14;6;10;0;1;17;10;10;1;252
Arraial do Cabo;Baixadas Litorâneas;2014;0;0;0;0;0;0;1;22;0;4;1;2;1;3;6;2;5;0;113
Barra do Piraí;Sul Fluminense;2014;2;0;0;2;1;3;1;56;3;16;11;5;1;4;26;2;17;0;239
Barra Mansa;Sul Fluminense;2014;7;0;0;7;0;7;12;68;2;25;8;16;3;9;39;1;22;0;500
Belford Roxo;Metropolitana do Rio de Janeiro;2014;24;0;0;24;4;28;7;183;16;16;0;15;1;64;57;12;39;1;1147
Bom Jardim;Centro Fluminense;2014;0;0;0;0;0;0;0;5;0;4;1;3;0;1;2;0;1;0;42
Bom Jesus do Itabapoana;Noroeste Fluminense;2014;1;0;0;1;0;1;0;39;4;3;2;1;0;0;6;0;1;5;142
Cabo Frio;Baixadas Litorâneas;2014;19;0;0;19;2;21;13;128;8;37;12;25;3;23;69;31;8;0;1065
Cachoeiras de Macacu;Centro Fluminense;2014;5;0;0;5;0;5;0;27;1;6;3;1;2;1;3;0;0;0;141
Cambuci;Noroeste Fluminense;2014;0;0;0;0;0;0;0;12;0;4;3;0;1;1;3;0;0;0;37
Carapebus;Norte Fluminense;2014;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Comendador Levy Gasparian;Centro Fluminense;2014;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Campos dos Goytacazes;Norte Fluminense;2014;27;0;0;27;0;27;53;199;12;74;18;52;11;53;224;60;30;3;1440
Cantagalo;Centro Fluminense;2014;2;0;0;2;0;2;1;20;1;4;4;0;0;1;1;0;1;0;100
Cardoso Moreira;Norte Fluminense;2014;0;0;0;0;0;0;0;15;0;6;4;2;0;0;2;0;2;0;57
Carmo;Centro Fluminense;2014;0;0;0;0;0;0;0;18;0;4;1;3;0;1;2;0;0;1;86
Casimiro de Abreu;Baixadas Litorâneas;2014;2;0;0;2;0;2;0;32;3;7;1;5;1;2;3;0;2;0;184
Conceição de Macabu;Norte Fluminense;2014;2;0;0;2;0;2;1;12;0;0;0;0;0;0;0;2;0;0;60
Cordeiro;Centro Fluminense;2014;0;0;0;0;0;0;0;10;0;1;1;0;0;1;2;0;0;0;43
Duas Barras;Centro Fluminense;2014;1;0;0;1;0;1;0;4;2;0;0;0;0;0;1;0;0;0;34
Duque de Caxias;Metropolitana do Rio de Janeiro;2014;36;0;3;39;6;45;23;403;27;59;6;52;1;171;227;94;37;0;3611
Engenheiro Paulo de Frontin;Sul Fluminense;2014;0;0;0;0;0;0;0;10;0;7;7;1;0;0;2;0;1;0;53
Guapimirim;Metropolitana do Rio de Janeiro;2014;0;0;0;0;0;0;2;40;2;6;4;2;0;2;7;3;0;0;166
Iguaba Grande;Baixadas Litorâneas;2014;0;0;0;0;0;0;0;18;1;2;2;0;0;1;2;0;3;0;103
Itaboraí;Metropolitana do Rio de Janeiro;2014;4;0;0;4;0;4;9;112;9;22;2;19;1;25;57;28;14;0;839
Itaguaí;Metropolitana do Rio de Janeiro;2014;10;0;0;10;3;13;16;99;9;10;2;8;1;25;30;10;11;0;501
Italva;Noroeste Fluminense;2014;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Itaocara;Noroeste Fluminense;2014;1;0;0;1;0;1;2;24;0;7;6;0;1;1;3;0;0;0;98
Itaperuna;Noroeste Fluminense;2014;4;0;0;4;0;4;3;34;2;50;44;7;0;2;23;4;11;0;317
Itatiaia;Sul Fluminense;2014;1;0;0;1;0;1;3;18;4;112;102;9;2;0;24;1;4;1;237
Japeri;Metropolitana do Rio de Janeiro;2014;5;0;0;5;0;5;4;49;10;15;0;6;9;11;10;11;12;0;298
Laje do Muriaé;Noroeste Fluminense;2014;0;0;0;0;0;0;0;10;0;2;1;0;1;0;0;0;0;0;22
Macaé;Norte Fluminense;2014;18;0;0;18;0;18;20;77;4;24;3;15;7;15;45;17;9;0;825
Macuco;Centro Fluminense;2014;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Magé;Metropolitana do Rio de Janeiro;2014;6;1;0;7;0;7;11;180;11;21;7;13;1;24;43;11;20;0;799
Mangaratiba;Sul Fluminense;2014;6;0;0;6;0;6;4;18;2;3;0;2;1;5;9;1;1;0;178
Maricá;Metropolitana do Rio de Janeiro;2014;4;0;0;4;0;4;1;93;9;9;3;1;5;17;24;7;5;0;602
Mendes;Sul Fluminense;2014;0;0;0;0;0;0;0;17;2;8;5;5;0;1;4;2;0;1;66
Mesquita;Metropolitana do Rio de Janeiro;2014;4;0;2;6;2;8;10;120;2;12;1;11;0;29;25;11;3;0;657
Miguel Pereira;Sul Fluminense;2014;0;0;0;0;0;0;0;32;2;5;3;2;0;1;10;0;3;0;132
Miracema;Noroeste Fluminense;2014;0;0;0;0;0;0;2;17;0;26;18;7;1;0;8;2;4;0;119
Natividade;Noroeste Fluminense;2014;0;0;0;0;0;0;0;16;1;1;1;0;0;0;0;0;4;0;48
